#{"t_start": 1682332031.95234, "env_id": null}
r,l,t
11.570555,38,1.088655
9.432297,38,2.219405
26.0,38,3.071594
87.444518,38,4.019435
17.668804,38,5.280518
15.212666,38,6.215928
18.034092,38,7.324652
19.118718,38,8.402719
12.4,38,9.228581
33.0,38,10.497249
8.55292,38,11.65465
7.825219,38,12.355142
6.727174,38,12.982177
4.508941,38,13.558095
33.30051,38,14.254938
7.626579,38,14.918765
240.0,38,15.637747
19.766483,38,16.323699
6.678374,38,16.860606
4.935781,38,17.468188
17.981815,38,18.149195
16.967847,38,18.784974
25.59189,38,19.477099
4.454369,38,20.156526
44.584467,38,20.793942
23.0,38,21.510166
4.277622,38,22.197041
32.908278,38,22.889894
14.669009,38,23.548862
16.535058,38,24.117568
28.591221,38,24.758625
17.47127,38,25.535418
31.681074,38,26.274413
32.966578,38,26.941274
3.713555,38,27.564067
22.0,38,28.137837
32.338994,38,28.808971
10.924762,38,29.486393
20.18286,38,30.140915
16.352112,38,31.054281
48.318168,38,31.709131
18.8,38,32.712916
21.043566,38,33.614302
8.616493,38,34.580474
9.873838,38,35.607173
65.927307,38,36.356959
24.071882,38,37.231446
31.919347,38,38.122238
12.428633,38,39.003522
17.631177,38,39.873088
7.179635,38,40.622749
29.0,38,41.570728
44.504011,38,42.444734
4.894866,38,45.447616
14.4,38,46.394053
10.268624,38,47.244314
4.113695,38,48.107416
20.091279,38,48.855601
58.38501,38,49.699119
11.088364,38,50.6047
6.682755,38,51.548419
11.832531,38,52.430189
10.811277,38,53.150144
15.037245,38,53.81307
4.221945,38,54.553287
21.256365,38,55.204499
13.676318,38,55.952932
15.448417,38,56.570631
4.083207,38,57.103331
7.030933,38,57.994507
5.352551,38,58.695332
11.887178,38,59.46387
11.845094,38,60.166001
22.0,38,60.732424
22.911938,38,61.394663
16.0,38,62.16525
60.0,38,62.835273
5.947889,38,63.503152
20.0,38,64.090482
12.260312,38,64.737157
22.06195,38,65.383728
15.229415,38,66.076174
28.430069,38,66.725165
190.0,38,67.347997
64.0,38,67.897811
47.192246,38,68.516147
9.588236,38,69.301874
45.076923,38,70.223821
35.334936,38,71.068252
5.101617,38,71.761754
30.848656,38,72.348175
26.361781,38,73.026853
6.354262,38,73.833025
6.827839,38,74.60101
23.342893,38,75.294492
13.142514,38,75.902174
26.766355,38,76.475026
21.161521,38,77.158755
32.97918,38,78.552816
2.627589,38,79.507302
38.0,38,80.238205
18.900928,38,80.89249
7.386434,38,81.739073
30.0,38,82.52321
11.735994,38,83.262863
29.859095,38,83.980889
4.577526,38,84.527078
9.815144,38,87.615457
9.389902,38,88.500069
8.023668,38,89.944863
101.671499,38,91.231918
13.578943,38,92.194569
6.076321,38,92.920353
13.995383,38,93.503492
3.429765,38,94.241554
15.2,38,95.015562
6.984574,38,95.744095
39.118465,38,96.489327
40.0,38,97.127326
22.630985,38,97.713817
23.527999,38,98.430812
9.858854,38,99.123487
27.791177,38,99.864864
13.469195,38,100.580977
28.0,38,101.320113
17.100843,38,101.995079
25.0,38,102.663823
7.951494,38,103.351487
21.0,38,104.071386
5.787495,38,104.702459
21.0,38,105.368732
10.976065,38,106.168127
18.56,38,106.97008
5.818862,38,107.625606
6.327531,38,108.774995
8.105146,38,109.506383
15.796528,38,110.717754
