#{"t_start": 1682409038.1980274, "env_id": null}
r,l,t
11.570555,38,5.26614
234.73317,38,5.962674
-387.002,38,6.646329
87.444518,38,7.316853
17.668804,38,7.962092
-375.168404,38,8.641092
-413.205176,38,9.412799
3676.226026,38,10.166865
12.4,38,10.894605
33.0,38,11.610955
511.67553,38,12.33671
923.452609,38,13.066463
6.727174,38,13.78919
4.508941,38,14.501583
33.30051,38,15.212592
-2943.555131,38,15.933672
240.0,38,16.658114
19.766483,38,17.378381
6.678374,38,18.096652
6105.595126,38,18.830418
-413.231315,38,19.562318
16.967847,38,20.28382
-387.206055,38,21.034836
4.454369,38,21.772566
6131.383143,38,22.518827
23.0,38,23.26246
4.277622,38,24.002606
32.908278,38,24.734
14.669009,38,25.468297
16.535058,38,26.201073
5145.330093,38,26.922279
3281.462908,38,27.651798
31.681074,38,28.383793
32.966578,38,29.132312
3.713555,38,29.879088
-410.818182,38,30.601756
5416.169497,38,31.336794
441.826017,38,32.069615
-416.57577,38,32.795748
16.352112,38,33.53662
48.318168,38,34.276482
-416.131489,38,34.997262
21.043566,38,35.727342
-1670.110358,38,36.457993
9.873838,38,37.189167
-183.161597,38,37.894327
4545.369274,38,38.603302
-344.038076,38,39.321068
-241.924393,38,40.043297
3281.542861,38,40.757307
-3551.965738,38,41.477595
29.0,38,42.195961
6131.342914,38,42.915763
6286.605466,38,46.903892
14.4,38,47.639888
-151.728433,38,48.382648
-12192.11791,38,49.098603
3850.04564,38,49.824343
-205.286736,38,50.532741
11.088364,38,51.240504
-4414.56907,38,51.97369
-187.787972,38,52.694524
-61.934361,38,53.418434
15.037245,38,54.154633
10379.473614,38,54.87936
-414.436865,38,55.585627
1889.1911,38,56.305174
2674.390875,38,57.022492
11917.580623,38,57.730379
-3882.198819,38,58.430382
5.352551,38,59.157762
955.096131,38,59.880371
955.075089,38,60.584352
22.0,38,61.305733
4394.064665,38,62.023621
-392.001,38,62.726893
-198.044267,38,63.451887
5.947889,38,64.19829
-416.6672,38,65.036162
12.260312,38,65.779428
-410.787207,38,66.484012
15.229415,38,67.198647
28.430069,38,67.894522
190.0,38,68.608044
6732.0,38,69.323072
-248.870711,38,70.036642
9.588236,38,70.761003
45.076923,38,71.52319
35.334936,38,72.267194
5291.017371,38,72.988076
5331.55336,38,73.688788
-386.821109,38,74.394191
6.354262,38,75.107913
6.827839,38,75.823457
23.342893,38,76.562299
-296.458743,38,77.290098
26.766355,38,78.012829
21.161521,38,78.725751
5495.277469,38,79.467175
76632.680588,38,80.187175
-303.803789,38,80.939615
18.900928,38,81.670278
7.386434,38,82.400995
30.0,38,83.127198
-187.83624,38,83.851849
-358.404719,38,84.567236
8006.674728,38,85.294212
130.496143,38,89.224942
9.389902,38,90.003759
8.023668,38,90.743202
7218.835749,38,91.470319
1889.142413,38,92.20268
6.076321,38,92.960487
-335.858594,38,93.700716
3.429765,38,94.432249
15.2,38,95.156495
6.984574,38,95.904155
39.118465,38,96.641126
40.0,38,97.385003
-406.073203,38,98.096686
23.527999,38,98.846984
130.517998,38,99.570186
27.791177,38,100.298266
1889.087539,38,101.014989
5042.571429,38,101.730408
17.100843,38,102.467562
4684.5,38,103.224055
7.951494,38,103.99033
4048.595238,38,104.716531
5.787495,38,105.448143
21.0,38,106.176047
10.976065,38,106.887616
18.56,38,107.637401
5.818862,38,108.369268
2424.721385,38,109.115977
8.105146,38,109.880701
15.796528,38,110.598083
6.838373,38,111.325096
22.833872,38,112.08976
4048.805926,38,112.884762
27.063367,38,113.625846
-1670.115152,38,114.337702
1889.122599,38,115.111675
31.053302,38,115.841341
-351.222222,38,116.579085
14.470912,38,117.324315
201.726428,38,118.073372
15.491593,38,118.798162
-335.955311,38,119.535108
11.206321,38,120.26853
-14606.851667,38,121.083238
12.898628,38,121.824732
-187.820298,38,122.542547
3386.704164,38,123.278605
3849.946327,38,124.002264
9.735168,38,124.706041
7081.113932,38,125.430772
20.003249,38,126.162137
21.360533,38,126.89353
-317.743529,38,127.623277
7.255408,38,128.38421
-1670.1059,38,132.557873
22.0,38,133.279685
16.437006,38,134.017596
14.545723,38,134.746393
4813.0,38,135.459884
-2142.241463,38,136.21036
5569.941176,38,136.961228
6131.275394,38,137.710916
21.038742,38,138.456901
37.0,38,139.203966
20.715949,38,139.941779
41.495891,38,140.67271
31.450512,38,141.411606
38.0,38,142.150214
-405.767181,38,142.870787
-61.919577,38,143.568434
17.393805,38,144.302717
13.797601,38,145.019399
5.579451,38,145.741447
-187.84522,38,146.458339
-9775.429458,38,147.17749
9.697202,38,147.896974
-247.978719,38,148.630042
3386.682978,38,149.338951
8.230093,38,150.05592
8.806614,38,150.783627
-400.119667,38,151.506598
6486.057876,38,152.227182
234.748892,38,152.956905
4.84698,38,153.707154
511.680952,38,154.450619
15.051015,38,155.167428
34.300721,38,155.875767
3386.791556,38,156.598734
-392.001,38,157.317354
22.214295,38,158.033419
24.926551,38,158.745407
16.628582,38,159.466587
13.351079,38,160.214314
4.177159,38,160.940829
3487.413493,38,161.711861
4.643997,38,162.464473
23.0,38,163.174565
-241.979388,38,163.892959
2753.971836,38,164.638521
55.280597,38,165.36924
1889.223683,38,166.083366
5707.119914,38,166.804521
-335.857375,38,167.53187
4.135195,38,168.255173
19.2,38,168.991401
1703.569697,38,169.707015
4229.252312,38,170.44491
37.010648,38,171.167946
-351.202789,38,175.181642
16.365497,38,175.924592
-213.195288,38,176.6729
1889.152941,38,177.401038
14.8,38,178.131102
31.0,38,178.860303
-661.866667,38,179.581888
-241.94677,38,180.341656
19.88127,38,181.069591
301.715586,38,181.805389
37.598892,38,182.540166
5.96704,38,183.275895
16.8,38,184.01335
-413.321855,38,184.763062
20.480712,38,185.501275
42.0,38,186.243055
28.752412,38,186.994851
12.353835,38,187.714056
-393.649308,38,188.453495
17.263426,38,189.175146
707.447612,38,189.901347
-248.466833,38,190.630574
-379.981481,38,191.366717
20.217618,38,192.091413
4.391725,38,192.806468
3849.994864,38,193.5361
5.772919,38,194.25788
5762.49718,38,194.997161
42.000756,38,195.721522
4931.810089,38,196.4746
3.836469,38,197.222586
234.741685,38,197.934268
46.505369,38,198.655092
44.0,38,199.377996
42.0,38,200.105176
-91.517133,38,200.816399
130.488571,38,201.544324
12.0,38,202.261518
44.972664,38,202.978483
412.718447,38,203.700312
-13114.784095,38,204.420866
2935.037041,38,205.140388
18.186397,38,205.888368
