#{"t_start": 1682424847.7278795, "env_id": null}
r,l,t
0.0,38,6.444742
0.0,38,7.367923
0.0,38,8.254355
0.0,38,9.161294
0.0,38,10.034734
-382.774737,38,10.85716
0.0,38,11.706651
3666.666667,38,12.539308
0.0,38,13.379735
0.0,38,14.210754
0.0,38,15.025556
0.0,38,15.864361
0.0,38,16.69192
0.0,38,17.540438
0.0,38,18.36441
-2947.368421,38,19.186786
0.0,38,20.016609
0.0,38,20.868807
0.0,38,21.74049
6103.127236,38,22.5908
0.0,38,23.534875
0.0,38,24.401899
0.0,38,25.295862
0.0,38,26.140826
0.0,38,26.96413
0.0,38,27.888793
0.0,38,28.726552
0.0,38,29.52069
0.0,38,30.33765
0.0,38,31.182651
0.0,38,32.042019
0.0,38,32.87717
0.0,38,33.762182
0.0,38,34.574594
0.0,38,35.510904
0.0,38,36.343724
0.0,38,37.229738
436.363636,38,38.063665
0.0,38,38.89073
0.0,38,39.726595
0.0,38,40.567368
0.0,38,41.362482
0.0,38,42.185541
-1674.418605,38,43.007736
0.0,38,43.856092
0.0,38,44.68239
0.0,38,45.5094
0.0,38,46.331446
0.0,38,47.144016
0.0,38,47.956303
0.0,38,48.771068
0.0,38,49.631145
0.0,38,50.501427
6284.158033,38,54.470717
0.0,38,55.296885
0.0,38,56.093877
-12194.174757,38,56.886448
0.0,38,57.703301
0.0,38,58.518345
0.0,38,59.331695
-4417.910448,38,60.15056
-193.704237,38,60.968435
0.0,38,61.762702
0.0,38,62.564573
10377.362642,38,63.377708
0.0,38,64.192788
0.0,38,65.040903
0.0,38,65.852165
0.0,38,66.686218
0.0,38,67.515107
0.0,38,68.340021
0.0,38,69.225987
0.0,38,70.127404
0.0,38,71.005195
0.0,38,71.877764
0.0,38,72.72874
0.0,38,73.563107
0.0,38,74.430871
0.0,38,75.294406
0.0,38,76.072623
0.0,38,76.863165
0.0,38,77.691578
0.0,38,78.585561
0.0,38,79.425052
0.0,38,80.242688
0.0,38,81.104209
0.0,38,81.954968
0.0,38,82.791511
0.0,38,83.613391
5288.466563,38,84.42523
5316.129032,38,85.272119
-400.002,38,86.18033
0.0,38,87.04441
0.0,38,87.94058
0.0,38,88.786417
0.0,38,89.602851
0.0,38,90.472805
0.0,38,91.341235
5478.787879,38,92.262903
76631.366794,38,93.079581
0.0,38,93.908962
0.0,38,94.758669
0.0,38,95.618669
0.0,38,96.469153
0.0,38,97.407598
0.0,38,98.369155
8004.385965,38,99.213022
125.588571,38,103.044743
0.0,38,103.890314
0.0,38,104.714889
0.0,38,105.52966
0.0,38,106.335998
0.0,38,107.233628
0.0,38,108.074881
0.0,38,108.885257
0.0,38,109.762801
0.0,38,110.739525
0.0,38,111.556787
0.0,38,112.360033
0.0,38,113.146835
0.0,38,114.097404
0.0,38,114.958196
0.0,38,115.839696
1882.352941,38,116.682826
0.0,38,117.483931
0.0,38,118.269442
0.0,38,119.075114
0.0,38,119.886868
0.0,38,120.685559
0.0,38,121.465803
0.0,38,122.290904
0.0,38,123.101196
0.0,38,123.927796
0.0,38,124.739526
2421.557619,38,125.539607
0.0,38,126.353347
0.0,38,127.158368
0.0,38,128.097051
0.0,38,128.938902
0.0,38,129.75545
0.0,38,130.626553
0.0,38,131.434442
0.0,38,132.387675
-366.626839,38,133.256701
-358.422222,38,134.111161
0.0,38,134.900228
0.0,38,135.704337
0.0,38,136.514547
-342.856286,38,137.321526
0.0,38,138.236291
-14608.695652,38,139.092235
0.0,38,139.88619
0.0,38,140.707779
0.0,38,141.601263
3840.0,38,142.486261
0.0,38,143.343281
7078.760169,38,144.278929
0.0,38,145.101471
0.0,38,145.944613
0.0,38,146.850386
0.0,38,147.674096
0.0,38,151.469706
0.0,38,152.269913
0.0,38,153.072318
0.0,38,153.940987
0.0,38,154.753708
0.0,38,155.608132
0.0,38,156.48388
6109.090909,38,157.376228
0.0,38,158.241426
0.0,38,159.079393
0.0,38,159.884506
0.0,38,160.700227
0.0,38,161.522578
0.0,38,162.353573
0.0,38,163.167728
-67.34,38,163.958407
0.0,38,164.785564
0.0,38,165.615914
0.0,38,166.444999
0.0,38,167.254104
-9777.777778,38,168.108567
0.0,38,168.915905
-272.466833,38,169.812778
0.0,38,170.604453
0.0,38,171.523601
0.0,38,172.377402
-412.119667,38,173.171098
0.0,38,173.995669
230.017021,38,174.866339
0.0,38,175.67994
0.0,38,176.47416
0.0,38,177.316217
0.0,38,178.130816
0.0,38,178.938097
0.0,38,179.770496
0.0,38,180.621315
0.0,38,181.446458
0.0,38,182.309347
0.0,38,183.113776
11111.115,38,183.913669
3478.26087,38,184.782961
0.0,38,185.624625
0.0,38,186.41327
0.0,38,187.210277
2750.900328,38,188.042636
-241.272857,38,188.878046
1882.352941,38,189.703195
0.0,38,190.542166
0.0,38,191.368306
0.0,38,192.152041
