#{"t_start": 1682358783.35251, "env_id": null}
r,l,t
11.570555,38,1.679767
9.432297,38,3.264451
26.0,38,4.833479
87.444518,38,7.334158
17.668804,38,10.927331
15.212666,38,15.257453
18.034092,38,17.464361
19.118718,38,19.121366
12.4,38,20.286326
5495.287879,38,21.177664
8.55292,38,22.699732
7.825219,38,23.815323
6.727174,38,25.132
4.508941,38,26.101845
33.30051,38,27.384333
7.626579,38,28.670975
240.0,38,29.685905
19.766483,38,30.926176
6.678374,38,31.946001
4.935781,38,33.051858
17.981815,38,34.288876
16.967847,38,35.300752
25.59189,38,36.701514
4.454369,38,37.958988
44.584467,38,39.263517
23.0,38,40.56362
-11437.113525,38,41.384735
32.908278,38,42.022136
14.669009,38,42.73354
16.535058,38,43.601259
28.591221,38,44.445538
17.47127,38,45.192643
31.681074,38,45.880732
32.966578,38,46.50385
16706.040756,38,47.242988
22.0,38,47.977976
32.338994,38,48.709464
10.924762,38,49.477384
20.18286,38,50.073862
16.352112,38,50.710164
48.318168,38,51.533988
18.8,38,52.236703
21.043566,38,52.949061
8.616493,38,53.630574
9.873838,38,54.40757
65.927307,38,55.419876
24.071882,38,56.39392
31.919347,38,57.360544
12.428633,38,58.186604
17.631177,38,58.973246
7.179635,38,59.95825
29.0,38,61.032731
44.504011,38,62.137662
4.894866,38,66.174915
14.4,38,67.202631
10.268624,38,68.167196
4.113695,38,69.312446
20.091279,38,70.44738
58.38501,38,71.491001
11.088364,38,72.579144
6.682755,38,73.34684
11.832531,38,74.564617
10.811277,38,75.485786
-375.256114,38,76.492841
4.221945,38,77.493578
21.256365,38,78.260073
13.676318,38,79.435158
15.448417,38,80.531369
4.083207,38,81.508492
7.030933,38,82.395625
5.352551,38,83.096522
11.887178,38,84.034709
11.845094,38,85.041362
22.0,38,85.828761
22.911938,38,86.591751
16.0,38,87.187779
60.0,38,87.902919
-5956.757599,38,88.600199
20.0,38,89.363989
12.260312,38,91.389078
22.06195,38,92.017557
15.229415,38,92.692006
28.430069,38,93.411869
190.0,38,94.133319
64.0,38,94.763095
47.192246,38,95.343631
9.588236,38,95.989765
-258.887278,38,96.744017
35.334936,38,97.409382
5.101617,38,98.15933
30.848656,38,98.753295
26.361781,38,99.387573
2275.902131,38,100.159475
6.827839,38,100.808266
23.342893,38,101.493638
13.142514,38,102.119164
26.766355,38,102.654526
21.161521,38,103.231718
32.97918,38,103.859122
2.627589,38,104.51884
38.0,38,105.126572
18.900928,38,105.719782
7.386434,38,106.270173
30.0,38,106.85675
11.735994,38,107.507812
29.859095,38,108.147061
4.577526,38,108.787056
9.815144,38,110.862155
9.389902,38,111.518009
8.023668,38,112.163149
101.671499,38,112.837677
13.578943,38,113.411591
-5636.306102,38,113.975258
13.995383,38,114.692719
3.429765,38,115.336508
15.2,38,115.969192
6.984574,38,116.629366
39.118465,38,117.138361
40.0,38,117.672203
22.630985,38,118.400072
23.527999,38,119.091964
9.858854,38,119.72349
27.791177,38,120.338445
13.469195,38,120.856703
28.0,38,121.512491
17.100843,38,122.163601
25.0,38,122.820937
7.951494,38,123.484443
21.0,38,124.111927
5.787495,38,124.748655
21.0,38,125.375869
10.976065,38,126.019489
18.56,38,126.957018
5.818862,38,128.830479
2424.721385,38,129.543656
8.105146,38,130.195756
15.796528,38,130.825856
6.838373,38,131.504014
4394.025632,38,132.040329
21.421375,38,132.6442
27.063367,38,133.3493
8.606905,38,134.019379
13.539315,38,134.667347
