#{"t_start": 1682286817.8727129, "env_id": null}
r,l,t
11.570555,38,1.119612
9.432297,38,1.722943
26.0,38,2.580966
87.444518,38,3.262109
17.668804,38,4.09298
15.212666,38,4.859163
18.034092,38,5.448943
19.118718,38,6.277827
12.4,38,7.03278
33.0,38,7.763134
8.55292,38,8.467884
7.825219,38,9.134068
6.727174,38,9.753519
4.508941,38,10.433294
33.30051,38,11.437513
7.626579,38,12.094578
240.0,38,12.924269
19.766483,38,13.596244
6.678374,38,14.268223
4.935781,38,15.037339
17.981815,38,15.841236
16.967847,38,17.052275
25.59189,38,17.773236
4.454369,38,18.390872
44.584467,38,18.990303
23.0,38,19.787326
4.277622,38,20.466181
32.908278,38,21.306002
14.669009,38,22.034372
16.535058,38,22.604656
28.591221,38,23.133872
17.47127,38,23.782406
31.681074,38,24.427592
32.966578,38,25.103978
3.713555,38,25.919849
22.0,38,26.675125
32.338994,38,27.441034
10.924762,38,28.220092
20.18286,38,28.974783
16.352112,38,29.798291
48.318168,38,30.797113
18.8,38,31.4746
21.043566,38,32.130243
8.616493,38,33.048486
9.873838,38,33.693053
65.927307,38,34.322418
24.071882,38,35.080129
31.919347,38,35.673369
12.428633,38,36.532036
17.631177,38,37.233108
7.179635,38,38.058469
29.0,38,38.718341
44.504011,38,39.376469
4.894866,38,42.216364
14.4,38,42.887992
10.268624,38,43.571207
4.113695,38,44.183722
20.091279,38,45.417376
58.38501,38,46.615528
11.088364,38,47.401916
6.682755,38,48.142803
11.832531,38,48.792962
10.811277,38,49.438623
15.037245,38,50.292626
4.221945,38,51.178634
21.256365,38,51.892058
13.676318,38,52.644315
15.448417,38,53.287973
4.083207,38,54.102655
7.030933,38,54.806011
5.352551,38,55.44956
11.887178,38,56.173394
11.845094,38,56.842509
22.0,38,57.425866
22.911938,38,58.382297
16.0,38,59.701294
60.0,38,60.808426
5.947889,38,61.927105
20.0,38,62.800987
12.260312,38,64.130447
22.06195,38,65.724121
15.229415,38,67.302158
28.430069,38,68.541265
190.0,38,69.669533
64.0,38,70.991089
47.192246,38,73.994247
9.588236,38,75.145774
45.076923,38,76.100962
35.334936,38,77.156722
5.101617,38,77.997596
30.848656,38,78.953315
26.361781,38,80.317589
6.354262,38,82.253976
6.827839,38,83.221771
23.342893,38,84.632851
13.142514,38,86.070523
26.766355,38,87.071039
21.161521,38,87.885634
32.97918,38,88.94829
2.627589,38,89.90244
38.0,38,91.684069
18.900928,38,96.339991
7.386434,38,97.676518
30.0,38,98.632478
11.735994,38,100.416017
29.859095,38,101.194478
4.577526,38,102.041763
9.815144,38,107.2437
9.389902,38,108.575813
8.023668,38,109.799781
101.671499,38,111.550579
13.578943,38,112.534237
6.076321,38,113.282317
13.995383,38,114.065762
3.429765,38,114.926372
15.2,38,115.793103
6.984574,38,116.532114
39.118465,38,117.257145
40.0,38,117.836258
22.630985,38,118.505937
23.527999,38,119.354623
9.858854,38,120.182691
27.791177,38,121.570115
13.469195,38,122.252252
28.0,38,123.118719
17.100843,38,123.892351
25.0,38,124.953242
7.951494,38,125.91713
21.0,38,126.882643
5.787495,38,127.495671
21.0,38,128.77733
10.976065,38,129.769474
18.56,38,130.514139
5.818862,38,131.52687
6.327531,38,132.188184
8.105146,38,133.220988
15.796528,38,134.147788
6.838373,38,135.008678
22.833872,38,135.817482
21.421375,38,136.613154
27.063367,38,137.367745
8.606905,38,138.259612
13.539315,38,139.568555
31.053302,38,140.458974
14.4,38,141.883235
14.470912,38,142.643798
201.726428,38,143.564755
15.491593,38,144.468582
13.801949,38,145.343524
11.206321,38,146.260795
3.687971,38,147.056675
12.898628,38,147.813375
11.767879,38,148.487635
17.852771,38,149.405822
19.892654,38,150.245745
9.735168,38,151.473691
4.707526,38,152.686423
20.003249,38,153.809603
21.360533,38,155.793446
13.6,38,157.203724
7.255408,38,158.112329
8.625408,38,161.797758
22.0,38,162.65371
16.437006,38,163.44854
14.545723,38,164.423283
26.0,38,166.459631
8.2,38,167.389987
34.0,38,168.21929
44.36897,38,168.897408
21.038742,38,169.802361
37.0,38,170.742111
20.715949,38,171.563306
41.495891,38,172.679507
31.450512,38,173.317538
38.0,38,174.23447
23.243029,38,176.696511
10.840846,38,178.303198
17.393805,38,179.373263
13.797601,38,180.183306
5.579451,38,181.212193
