#{"t_start": 1682516728.9876542, "env_id": null}
r,l,t
529.07637,38,6.082991
-274.685379,38,7.033612
649.371414,32,7.799868
30787238.770728,30,8.450966
-3468.531667,38,9.301
0.0,38,10.204433
73.763269,14,10.445646
62.147801,5,10.520195
0.0,38,11.38091
3260.948401,10,11.552829
0.0,38,12.418984
-669.26077,38,13.260192
73.00241,8,13.411136
1326.019827,16,13.699348
278.881948,32,14.374401
-644.227878,38,15.26583
0.0,38,16.132791
-1570.068277,4,16.204524
-384.462694,18,16.541675
-619.046458,10,16.732234
-237.299601,33,17.453207
867.068617,11,17.633748
-114.48,8,17.772378
1400.0,13,17.993987
2157.307944,36,18.84925
314.685,38,19.716341
1119.338243,10,19.90885
-57.143,38,20.765425
-150.311675,38,21.632651
73.439302,38,22.531424
1062.01794,17,22.863035
1760.0,38,23.71458
9100294.446836,14,23.974292
303.029167,38,24.989493
277.771136,20,25.378771
-1650.811092,37,26.225536
949.264794,38,27.110682
-839.080805,4,27.178003
47.371304,38,28.050249
232.557791,38,28.898248
-9.860444,38,29.730284
389.424488,38,30.570516
-230.205626,38,31.399509
943.189998,38,32.192392
31.055893,38,33.062723
0.0,38,33.882979
-1096.914688,23,34.347568
329.108175,38,35.195023
-40.567941,38,36.11501
-288.41623,9,36.302482
-1081.198647,38,37.140376
1094.65278,38,37.975498
-9571.013707,38,38.919151
2342.028986,38,39.767842
-143.368889,38,40.676237
-33.67,38,41.50682
-703.847701,12,41.718868
776.59856,38,42.580476
21.401503,38,43.419853
1655.172414,38,44.305833
-1234.593505,35,45.091716
-71.307315,38,45.947254
-2558.784507,30,46.580718
-854.66244,28,47.182064
713.967694,14,47.451599
-65.153145,38,48.33234
-2285.714286,38,49.211988
0.0,38,50.057517
-1069.691846,34,54.978374
525.398825,10,55.14698
1107.235724,29,55.77502
589.740042,27,56.344188
-124.069355,38,57.202137
9322705.372933,38,58.084875
320.0,38,58.944153
-190.77502,38,59.81931
1615.810435,38,60.75103
327.724494,38,61.66153
-169.347028,38,62.523425
-4577.364945,38,63.397901
277.777778,38,64.252211
0.0,38,65.120015
120.091501,38,65.993233
269.451429,38,66.886415
-59.112414,38,67.780581
43.651,38,68.565422
2681376.50008,38,69.269347
203.323939,38,69.986691
15076262.458614,38,70.723756
-814.885988,38,71.486692
-197.682162,38,72.211504
363.636364,38,72.934871
-714.364587,33,73.532542
-452.156336,38,74.268181
-102.612259,38,74.975834
0.0,38,75.68799
323.803051,38,76.395069
1058.678806,38,77.113626
1748.765384,38,77.819783
1640.255188,26,78.225038
18.791513,38,78.946507
402.768712,38,79.679571
467.456891,13,79.870466
10289108.910891,38,80.577019
-2063.973333,11,80.729948
921.723003,9,80.856922
-262.459245,31,81.421113
-439.189189,38,82.136256
-1618.615363,9,82.25435
-1648.564845,12,82.413874
663.950023,38,83.105734
790.80658,36,83.748093
1530.595122,38,84.461623
397.63555,38,85.193401
999.854668,19,85.503312
-435.992143,38,86.227264
376.068205,19,86.533399
193.975169,38,87.252533
114.286,38,87.995652
97.91907,38,88.746677
-128.122673,38,89.476065
211.322312,38,90.197256
122.058576,38,90.936995
-3585.552431,38,91.678493
1124.564652,38,92.391969
-200.472323,38,93.179168
69.310844,38,93.922254
608.668144,38,94.610428
-4240.167702,36,95.300167
1727.487915,13,95.476815
218.655381,38,99.890738
0.0,38,100.59501
64.935,38,101.312768
421.492168,20,101.625994
-2189.74359,12,101.805043
-59.752726,10,101.94174
-126.681497,38,102.670981
-320.0,38,103.404998
-2213.077253,27,103.860838
204.764793,38,104.584108
5.808786,38,105.285896
-363.636364,38,106.004983
-334.62,38,106.721491
324.809567,38,107.437071
-342.858,38,108.170398
-178.848959,38,108.941286
187.197544,38,109.767714
-186.48,38,110.51469
-300.925625,38,111.242092
-4028.082064,38,112.02624
-765.891054,17,112.320028
182.840424,38,113.064932
0.0,38,113.795609
-226.102601,38,114.476535
89.512535,38,115.169035
-510.638298,38,115.902175
-1166.787547,3,115.940821
-278.786833,38,116.657809
-54.599769,38,117.390301
73.743115,38,118.128655
462.512763,17,118.393262
-39.157112,17,118.67123
-5206.444374,38,119.368794
-172.226557,38,120.095439
-5008.632089,38,120.833013
-308.500612,28,121.306592
-754.739633,38,122.017367
9647574.045139,35,122.658692
-3123.472258,11,122.821344
-206.915741,38,123.544409
-1012.962963,5,123.608226
204.081429,38,124.32832
24.615385,38,125.058114
64.207699,38,125.75779
-5290.456797,5,125.824733
184.108021,38,126.545982
486.823784,12,126.710323
1702.12766,38,127.473248
45.006725,38,128.194578
611.111111,38,128.927652
-290.018227,38,129.666236
-776.276805,19,129.96798
-1511.745208,38,130.726834
2854.602582,20,131.043115
357.14375,38,131.768954
-208.762606,38,132.495612
1214.540065,38,133.214885
-124.581935,38,133.935431
-4706.851751,37,134.628909
0.0,38,135.342277
472.32369,38,136.070311
1930035.868333,38,136.809637
138.724588,38,137.553112
51.282308,38,140.789863
0.0,38,141.508913
193.198846,38,142.235541
872.946024,38,142.978938
145.447234,38,143.676197
-210.172909,38,144.403545
216.45,38,145.130038
1060.847856,15,145.359361
228.572,38,146.09236
-41.151447,29,146.612555
395.738251,11,146.773523
463.403898,38,147.523014
1343.027221,38,148.239577
21376478.691347,37,148.957812
-2131.879441,12,149.138299
501.321243,38,149.872331
807.270876,38,150.590645
616.898269,38,151.302841
-160.651108,38,152.043031
3.932577,38,152.757025
242.423333,38,153.465668
38.499537,38,154.160593
0.0,38,154.856158
-2509.924141,32,155.415347
