#{"t_start": 1682521575.355561, "env_id": null}
r,l,t
-2261.280369,29,5.938217
-178.412726,38,6.727877
-1883.174695,24,7.157995
30786818.993271,21,7.522225
-4649.422586,2,7.550175
-922.78,3,7.592655
-663.98073,4,7.649103
-228.498089,5,7.720481
590.47619,9,7.84632
4312.625873,5,7.919621
921.702128,2,7.94701
-669.827925,7,8.042999
572.793787,3,8.08362
617.794915,10,8.225319
-3741.413364,8,8.344113
-644.227878,38,9.126505
-6544.663032,8,9.24105
-1143.935181,4,9.296687
-111.116012,15,9.536307
-1260.90042,8,9.650842
-2284.352646,7,9.753756
602.291721,6,9.841614
-4606.556471,10,9.99001
1226.244412,14,10.211938
3110.365582,7,10.321693
-30.302917,38,11.12764
1063.266073,9,11.269738
-2838.589981,5,11.339724
442.436013,11,11.496143
358.422222,38,12.290349
595.235335,5,12.356896
1107.157628,5,12.427545
-1414.718615,4,12.486202
-2515.613043,13,12.686347
643.987978,25,13.135442
-2663.158945,11,13.302026
-4879.894898,13,13.508859
-376.811884,10,13.654616
1671.859333,9,13.794356
-1063.063333,27,14.292478
71.596774,38,15.083236
87.442698,5,15.15723
1946.940896,25,15.621612
-62.698503,6,15.708108
-55.344068,38,16.484532
-2357.737738,5,16.559278
-2732.652225,17,16.841969
-3036.872152,3,16.888746
-1031.66,25,17.33723
-1686.607272,3,17.37795
-1328.244667,25,17.830513
-10616.794777,6,17.919662
-8376.748168,4,17.979269
2137.508907,33,18.630438
-81.135882,38,19.429624
681.403509,11,19.600929
-703.847701,13,19.811145
-4330.345716,12,20.002079
-392.552121,11,20.168959
787.243774,14,20.39247
851.593206,5,20.466084
-141.882962,38,21.259877
-3645.288692,8,21.380133
-1051.792151,4,21.438809
853.897386,14,21.651274
1112.404001,3,21.691864
-1788.82,4,21.750759
1548.12332,7,21.853142
-164.769391,32,22.478887
525.398825,10,22.627635
769.887845,26,23.108134
-2027.288894,5,23.175554
521.091935,4,23.234876
-2041.08103,7,23.3296
-5415.893375,6,23.419697
1010.607572,32,24.040507
1615.810435,20,24.37762
1048.609441,38,25.165628
1121.568383,13,25.369732
-1678.899123,4,25.424324
-922.222222,15,25.670933
-3755.506621,9,25.797877
-33.836732,7,25.896093
121.213636,38,26.694164
2177.420625,14,26.926688
26.824867,38,27.730045
2282.811829,7,27.833736
63.1575,38,28.617925
-5178.079718,4,28.677658
-925.226564,24,29.096184
2384.565995,38,29.86627
-1651.371846,29,30.405597
-1797.406834,29,30.964609
-336.654731,11,31.132824
26.87776,22,31.514127
-1992.701962,17,31.785774
-1355.044056,6,31.877833
-5941.720218,8,31.993587
2286.028282,12,32.177814
1640.255188,26,32.667118
339.295037,28,33.197567
171.725805,38,33.98971
-218.983724,38,34.767672
616.811333,10,34.92272
-4816.095009,7,35.02848
-1318.890389,6,35.11349
-26.755485,30,35.695498
1416.841613,5,35.769044
-1555.571424,5,35.848895
716.94489,8,35.971856
-5308.528214,31,36.573337
562.05921,32,37.253243
772.127017,25,37.692106
835.773502,26,38.176453
868.060506,4,38.246764
3678.240402,9,38.389889
198.241968,22,38.779884
-2935.121264,5,38.852679
114.286,38,39.651996
-152.70413,10,39.804452
1547.679036,29,40.356742
33.968771,6,40.447137
122.058576,38,41.234858
-56.140667,38,42.005402
-748.045942,29,42.549634
-183.701676,38,45.582439
-1492.729591,11,45.756629
-1400.205516,8,45.875283
-4391.940495,37,46.637558
1694.246566,10,46.791538
218.655381,38,47.604538
224.670894,3,47.659129
-699.634341,11,47.838627
-80.381216,13,48.053009
-890.45708,13,48.261043
-481.457911,7,48.366168
2023.866298,9,48.510193
1521.812273,2,48.540601
-2381.897384,26,49.04149
-1740.489799,27,49.559097
1417.26947,21,49.940374
60.31746,10,50.111091
1580.450342,25,50.602227
380.312127,38,51.439522
-352.388903,38,52.297418
-70.208894,4,52.364244
-14666.703324,9,52.511292
1052.359451,8,52.63965
2501.276316,3,52.682943
-3513.540595,29,53.276077
-117.713609,11,53.460939
129.343665,15,53.721145
-2200.532449,17,54.013439
1994.109849,10,54.175631
-543.961578,24,54.646818
-952.898878,5,54.724441
-465.975392,29,55.307562
2779.485744,4,55.369001
828.147178,10,55.53081
-626.540473,9,55.66985
57.419458,4,55.730568
-1730.240562,2,55.765343
642.859714,12,55.969114
