#{"t_start": 1682980116.647233, "env_id": null}
r,l,t
0.0,38,1.048192
-317.913057,38,2.121478
379.703352,38,3.156814
30787238.770728,30,3.808682
0.0,38,4.621172
-780.487805,38,5.877854
-57.008965,38,7.168679
62.147801,5,7.546749
0.0,38,8.942829
1715.856305,38,9.926024
0.0,38,11.026116
-1072.482201,38,12.040912
1211.529305,38,12.580634
1526.717557,38,13.668205
0.0,38,14.966576
265.690846,38,15.964834
0.0,38,16.907484
-1466.71849,38,17.905022
-221.127483,38,18.668598
0.0,38,19.425591
-671.868688,38,20.48226
52.914191,38,21.92872
-380.952381,38,22.883411
0.0,38,23.97523
1671.028554,38,24.684062
80.200952,38,25.466925
0.0,38,26.076905
0.0,38,26.746253
0.0,38,27.652718
0.0,38,28.420862
601.545542,38,29.152347
1500.0,38,30.121308
9100294.446836,13,30.3076
0.0,38,30.866533
0.0,38,31.374136
10243581.851089,38,31.999119
18251398.748325,38,32.704748
-851.06383,38,33.345613
0.0,38,34.767103
0.0,38,35.642022
0.0,38,36.350485
0.0,38,37.141003
0.0,38,37.78391
1710.234563,38,38.394499
0.0,38,38.935297
0.0,38,39.465506
10500538.051232,38,40.28585
0.0,38,42.186901
0.0,38,43.451799
-972.231328,38,44.139604
-729.668377,38,44.735713
0.0,38,46.838639
-9004.206813,38,48.505956
1900.0,38,49.545864
0.0,38,51.234648
0.0,38,57.040913
54.235299,38,57.94991
0.0,38,61.843901
0.0,38,63.908431
1655.172414,38,65.927537
0.0,38,67.402527
119.675787,38,68.555931
0.0,38,69.952108
505.24132,38,70.80119
543.478125,38,71.434228
0.0,38,72.402847
-1762.711864,38,73.221474
0.0,38,73.922998
-544.502618,38,74.566458
0.0,38,75.159937
1013.912371,38,75.926486
-1646.516721,38,77.123646
0.0,38,77.84939
9321410.888908,37,78.554167
0.0,38,79.12516
4968732.530346,38,79.716691
0.0,38,80.490866
705.935259,38,81.150154
0.0,38,81.910371
0.0,38,82.697265
0.0,38,83.574674
-3334.573604,38,84.456788
120.091501,38,85.317704
78407920.792079,38,86.086371
0.0,38,86.737793
0.0,38,87.408206
-177.527001,38,88.17898
38.095238,38,88.948941
0.0,38,89.738276
0.0,38,90.547065
0.0,38,91.225308
11873267.326733,38,92.274951
0.0,38,93.585659
412.268744,38,94.269638
0.0,38,94.992728
0.0,38,95.564405
-282.66027,38,96.342994
0.0,38,97.270705
0.0,38,98.477096
-452.051868,38,99.669539
0.0,38,100.36175
0.0,38,101.242793
213.658084,38,102.508584
0.0,38,103.360736
0.0,38,104.051829
772.995776,38,104.6903
-400.0,38,106.093244
46.003404,38,107.279274
-1344.961678,38,108.113027
0.0,38,112.358869
0.0,38,113.25432
0.0,38,113.940601
0.0,38,114.905606
0.0,38,116.232219
-982.197348,38,117.830631
4114.285714,38,119.133443
205.128205,38,120.992995
0.0,38,122.707949
143.038966,38,124.919835
0.0,38,126.331507
0.0,38,127.263631
175.088008,38,128.749704
0.0,38,129.915781
0.0,38,131.546387
12774555.311871,38,132.982861
5912159.965941,38,134.30943
0.0,38,136.29657
51.733803,38,137.774018
12269306.930693,38,139.263096
1799.076952,38,140.60173
0.0,38,141.983265
0.0,38,143.076024
