#{"t_start": 1682851043.871114, "env_id": null}
r,l,t
0.0,38,5.803055
-317.913057,38,6.509739
269.668062,38,7.21196
30787618.569379,21,7.546139
-3666.666667,38,8.263609
653.061224,38,9.046908
0.0,38,9.774523
894.512142,9,9.900697
0.0,38,10.590777
3443.995821,38,11.308097
0.0,38,12.005928
0.0,38,12.716835
1211.529305,38,13.511176
1088.121066,18,13.780842
0.0,38,14.524897
-518.949213,38,15.242156
0.0,38,15.939118
-835.603924,38,16.684153
95.594018,28,17.146345
-782.111529,21,17.503191
0.0,38,18.200087
414.145364,38,18.934436
0.0,38,19.70618
-164.069021,24,20.093182
1671.028554,38,20.805863
-30.302917,38,21.503742
863.463988,18,21.78354
9893069.306931,38,22.496403
-96.886013,38,23.278228
135.50122,38,23.997713
7623982.79829,38,24.734025
1245.4555,15,24.942894
9100294.446836,13,25.127148
0.0,38,25.820878
583.896737,29,26.317916
10241882.705289,37,27.027233
0.0,38,27.766559
-1023.477968,6,27.854168
0.0,38,28.61874
270.27,38,29.419006
-9.860444,38,30.201726
0.0,38,30.996184
0.0,38,31.762725
284.554398,38,32.437409
64.646545,38,33.147009
273.248862,38,33.853255
10500538.051232,38,34.528434
194.006501,38,35.260854
193.704237,38,36.012788
0.0,38,36.712631
-456.86624,38,37.429961
0.0,38,38.152231
-8472.82535,38,38.860449
1900.0,38,39.623119
-143.368889,38,40.392663
0.0,38,41.115985
-643.402504,11,41.263421
856.296932,38,41.986097
98.169706,38,42.661818
0.0,38,43.387483
0.0,38,47.063624
119.675787,38,47.80052
0.0,38,48.52772
4691209.329901,38,49.220158
713.967694,15,49.450387
265.873424,38,50.120443
-2285.714286,38,50.816675
0.0,38,51.543936
-1117.318436,38,52.287547
666.666667,38,53.024778
1169.913293,36,53.728295
122.011345,38,54.446247
0.0,38,55.160103
9322705.372933,38,55.906073
0.0,38,56.631087
873.010866,37,57.35833
0.0,38,58.09247
705.935259,38,58.777181
-38.2011,38,59.486079
-4577.364945,38,60.227859
500.00125,38,60.923928
0.0,38,61.647756
0.0,38,62.337164
78407920.792079,38,63.026307
0.0,38,63.75245
147.617712,38,64.437531
-317.600542,38,65.152687
38.095238,38,65.841898
765.420354,38,66.525123
-1247.803055,38,67.20684
-197.682162,38,67.934722
0.0,38,68.640655
-1159.67285,32,69.204667
742.170103,38,69.917882
-102.612259,38,70.586334
0.0,38,71.290367
0.0,38,72.027436
0.0,38,72.720129
9412412.986139,38,73.44731
965.658795,26,73.862107
-6.578352,38,74.583083
7769801.13655,38,75.305872
631.679763,10,75.431862
0.0,38,76.121133
420.851373,38,76.838014
0.0,38,77.558201
42.510121,31,78.088145
-439.189189,38,78.853018
-2424.870185,14,79.036787
-514.874304,38,79.754954
0.0,38,80.418047
830.874116,38,81.108865
1530.595122,38,81.842316
0.0,38,82.548463
-700.631673,36,83.196743
3239603.960396,38,83.911108
761.904762,38,87.482205
193.975169,38,88.198424
46.920909,38,88.917765
0.0,38,89.564876
0.0,38,90.282094
211.322312,38,91.029005
0.0,38,91.830794
116.55,38,92.55946
1045.026105,38,93.282233
-37.983417,38,93.97286
0.0,38,94.678374
-1651.466097,38,95.385128
12269306.930693,38,96.131539
1891.628042,38,96.865721
114.374039,38,97.608423
0.0,38,98.284318
64.935,38,98.971244
130.748895,26,99.38501
639.744262,38,100.150079
630.013811,38,100.877445
0.0,38,101.635332
-283.94,38,102.358377
10309079.512805,24,102.724208
0.0,38,103.422216
0.0,38,104.132569
0.0,38,104.904325
-287.081053,38,105.637039
68.63985,38,106.335223
-391.1116,38,107.060976
0.0,38,107.768947
112338123.106307,38,108.544276
0.0,38,109.311917
-398.723684,38,110.070652
-5702.8783,38,110.781031
-215.282638,14,110.973387
0.0,38,111.689083
0.0,38,112.410254
0.0,38,113.124077
0.0,38,113.863335
0.0,38,114.568972
-696.896786,2,114.593291
-290.107714,38,115.251662
0.0,38,115.965837
0.0,38,116.680805
364.594411,13,116.850073
2435.476042,38,117.534768
-30.958075,38,118.215971
-334.860761,38,118.912561
-3150.256076,38,119.581609
12136363.508777,38,120.288772
-1129.706153,3,120.328478
1370.400384,34,120.96753
-2519.607843,16,121.199971
0.0,38,121.929746
-1297.619048,5,122.003484
0.0,38,122.721278
168.42,38,123.464247
118.04078,38,124.167404
21102603.150615,19,124.47598
0.0,38,125.201271
866.666667,38,128.808229
1422.222222,38,129.499956
138.243988,38,130.221344
1244.444444,38,130.939893
0.0,38,131.632194
-1461.538462,38,132.355919
0.0,38,133.075976
5.998887,38,133.755336
357.14375,38,134.461394
0.0,38,135.135321
948.443597,38,135.873279
-140.762727,38,136.598181
0.0,38,137.315413
0.0,38,138.019586
-719.558392,38,138.736004
-676.245524,38,139.445311
265.383393,38,140.15276
-88.235294,38,140.901551
0.0,38,141.612396
0.0,38,142.314787
0.0,38,142.992786
0.0,38,143.693528
-221.798166,38,144.380237
0.0,38,145.104627
1002.534113,13,145.2823
0.0,38,145.977284
-63.241882,27,146.442587
96.161844,38,147.160213
0.0,38,147.838478
1343.027221,38,148.570487
79.052174,38,149.286259
276.658871,38,149.974346
622.397518,38,150.682776
0.0,38,151.374794
221.374962,38,152.077674
0.0,38,152.794175
0.0,38,153.474232
0.0,38,154.187432
0.0,38,154.908108
0.0,38,155.644694
464.046923,38,156.350889
1280.0,38,157.058149
196.566468,38,157.750973
-40.201791,38,158.456689
0.0,38,159.142693
0.0,38,159.851129
-115.740625,38,160.57392
7516831.683168,38,161.27907
357.90269,38,161.988174
1517.745581,38,162.694845
387.683911,38,163.344982
300.957694,38,164.06337
87.201898,38,164.756075
0.0,38,165.431874
965.452897,33,166.018025
194.782,38,169.410393
190.475714,38,170.088359
198.756522,38,170.796949
0.0,38,171.500316
290.909455,38,172.212911
-606.397626,38,172.934242
11618559.428591,38,173.600502
-210.409517,38,174.31157
1652.018428,38,175.010089
214.214529,38,175.696249
986.921263,38,176.392297
-151.06074,38,177.085575
-55.411429,38,177.787311
4.271273,38,178.474292
62.250578,35,179.133106
-134.68,38,179.844078
88.668621,38,180.587959
217.418096,38,181.341094
0.0,38,182.031098
-160.242224,38,182.725743
0.0,38,183.439161
0.0,38,184.154825
-60.605338,38,184.856175
0.0,38,185.549744
435.643564,38,186.239777
178.906264,27,186.706014
6961042.90429,17,186.949985
-660.689888,27,187.371877
-65.820088,38,188.102192
183.554334,38,188.796485
1220.579856,38,189.473812
-59.926253,38,190.19203
0.0,38,190.908214
311.652805,38,191.56814
17.315909,38,192.256334
-8.342343,38,192.93108
0.0,38,193.642408
190.019821,6,193.718103
0.0,38,194.40314
-2000.0,38,195.087804
-2953.131657,38,195.812322
17417821.782178,38,196.522388
0.0,38,197.214191
0.0,38,197.961985
-3082.270207,38,198.654351
615.384615,38,199.375604
-250.966206,38,200.088386
-905.117403,38,200.788644
36.363636,38,201.548386
814.196097,12,201.720922
-1711.168166,16,201.961841
-66.66675,38,202.71067
153.01446,38,203.477834
198.135,38,204.208888
2315256.108597,38,204.960669
1373.240338,38,205.693841
-113.530133,38,206.38357
266.411077,38,209.857193
4373069.963144,29,210.339638
-5784.422324,19,210.646114
-44.529788,30,211.136953
0.0,38,211.876868
576.042881,15,212.082747
938.198705,38,212.8082
79.026545,38,213.53111
331.263333,38,214.303007
0.0,38,215.026998
-163.271591,36,215.659447
-186.091765,38,216.382064
2.410512,38,217.103207
0.0,38,217.782903
-1051.417278,38,218.487854
-135.897478,38,219.216373
396.387712,38,219.887266
-1954.784283,38,220.606693
5524610.237427,38,221.29163
-392.785982,38,221.98996
118.767535,38,222.717492
0.0,38,223.443241
174.945099,38,224.13577
1440.0,38,224.827796
867.483483,38,225.542992
-177.374536,38,226.296589
448.068427,38,226.99053
481.205714,38,227.700959
-38.189863,38,228.393219
153.269454,38,229.091001
50.947993,38,229.81701
16.119644,38,230.506513
-7.35384,38,231.211311
0.0,38,231.911429
128.205769,38,232.593618
1536.837849,38,233.281616
2460551.462716,32,233.832589
-403.726607,38,234.526949
-2915.759902,38,235.237627
8289951.380174,38,235.976375
-81.736552,38,236.64978
-23.731285,38,237.373413
0.0,38,238.079525
-2924.214312,38,238.783995
0.0,38,239.515664
0.0,38,240.182524
0.0,38,240.880788
0.0,38,241.597347
0.0,38,242.291343
0.0,38,243.021211
664.335,38,243.730004
-3256.263736,15,243.980799
19794059.405941,38,244.708534
43.345789,38,245.414828
0.0,38,246.191335
-217.254783,4,246.250535
-620.098319,38,247.043165
561.586473,38,247.816531
880.122109,11,250.827931
-162.601463,38,251.60851
0.0,38,252.342199
-171.358372,38,253.031926
3231.312972,34,253.668271
-14.705882,38,254.435374
233.495515,38,255.158276
0.0,38,255.903075
0.0,38,256.608425
222.83105,27,257.080904
-2598.086273,38,257.811639
-216.201509,38,258.522754
660.050715,30,259.063575
62.918668,25,259.490267
251.04943,38,260.209853
0.0,38,260.947146
0.0,38,261.700038
-191.188112,24,262.088912
-527.137818,38,262.809697
165.164804,38,263.498303
-135.906486,38,264.222558
266.666667,38,264.960151
816.326531,38,265.67827
135.59322,38,266.347939
-258.586182,38,267.087038
18209900.990099,38,267.785543
-962.368184,3,267.827617
24546534.653465,38,268.514258
0.0,38,269.215189
-1483.51253,38,269.883542
-96.418309,38,270.587654
-818.524891,38,271.357582
1111.393237,38,272.072948
-46.379448,38,272.787649
327.500272,32,273.339859
0.0,38,274.060168
333.333333,38,274.748564
72.072072,38,275.497057
0.0,38,276.200169
-148.157906,38,276.924811
76.012398,38,277.64361
112.300099,38,278.333639
1412.182387,38,279.043394
1250.358596,10,279.182585
-87.996943,38,279.901042
592.02,38,280.615541
512.555714,38,281.330706
5145240.956649,38,282.066734
57.301205,38,282.792835
-3762.622692,38,283.510249
-1143.477636,16,283.757965
-1600.0,38,284.48102
-103.895455,38,285.188709
-339.342609,38,285.930957
-1600.0,38,286.685928
156.74914,38,287.441219
427.82096,38,288.215341
26.830856,38,288.996456
-167.352575,38,292.806287
0.0,38,293.513502
0.0,38,294.291581
0.0,38,295.027659
-129.528064,38,295.761848
910.399826,11,295.925007
-1623.290695,38,296.708902
0.0,38,297.43635
0.0,38,298.173626
1527.916869,18,298.444221
0.0,38,299.159075
-4967.370561,38,299.89134
-568.601886,31,300.469865
111.111111,38,301.217191
2897.082286,30,301.77255
204.341379,38,302.549897
0.0,38,303.320678
732.270389,19,303.624862
59.064464,38,304.388237
-117.647059,38,305.140106
-1228.130779,38,305.846882
1909.153536,10,305.990108
1305.221282,38,306.701679
0.0,38,307.429805
-93.841818,38,308.20377
1073.593506,16,308.46785
1016.537621,38,309.274535
-34.582892,38,310.022396
0.0,38,310.765083
0.0,38,311.492428
8703807.637907,17,311.749521
-398.723684,38,312.551223
589.582536,38,313.319061
-448.598131,38,314.081568
0.0,38,314.838801
0.0,38,315.552534
280.752773,4,315.605631
-744.588853,6,315.683261
852.244314,38,316.440245
551.724138,38,317.176044
-198.287843,38,317.906056
-315.301758,38,318.62879
-225.316199,36,319.311437
135.648551,38,320.064774
-526.411786,38,320.830568
0.0,38,321.581055
-26.120244,38,322.32111
0.0,38,323.04956
173.914783,38,323.78361
544.217143,38,324.566879
0.0,38,325.314734
564.327874,38,326.040087
0.0,38,326.754514
1181.322581,38,327.451843
44.842563,38,328.183631
-828.085348,38,328.951451
0.0,38,329.672462
7316502.725752,21,329.994419
937.419318,38,330.705578
209.439859,32,331.261204
-1069.043018,38,335.137864
0.0,38,335.876633
10686519.943423,32,336.510305
0.0,38,337.248352
-2536.585366,38,337.964209
-749.886015,13,338.148369
-496.393723,38,338.845385
0.0,38,339.551379
-295.659703,38,340.280092
-523.648649,38,341.048834
2483.020831,38,341.764148
-128.467327,38,342.47388
1246.052011,38,343.172838
-31.62087,38,343.863647
0.0,38,344.597035
0.0,38,345.314203
0.0,38,346.034175
-347.99932,38,346.757724
0.0,38,347.458532
8.889333,38,348.164952
-66.252174,38,348.944766
-342.856286,38,349.685836
-5744.645433,24,350.09538
533.995316,10,350.22596
-2418.604651,38,350.921805
0.0,38,351.63726
15250152.562771,26,352.057129
138.617228,38,352.815464
666.666667,38,353.512092
2711.831367,19,353.803645
2535.05615,34,354.406394
0.0,38,355.096608
0.0,38,355.775573
70.174737,38,356.513386
0.0,38,357.241987
0.0,38,357.952188
-979.591837,38,358.63716
-488.215,38,359.34459
2600.265249,38,360.058215
0.0,38,360.817674
-177.778,38,361.548962
0.0,38,362.266891
0.0,38,362.982164
0.0,38,363.682515
78.265675,38,364.455078
-1030.118878,30,365.010285
0.0,38,365.740658
-3081.605516,12,365.91109
1449.365299,30,366.428872
363.890487,38,367.174263
-306.875345,38,367.870437
580.869531,38,368.597067
43.47875,38,369.355412
0.0,38,370.077937
-130.47218,38,370.785279
970.473165,33,371.345158
