#{"t_start": 1682381352.316065, "env_id": null}
r,l,t
11.570555,38,6.229716
9.432297,38,7.003505
26.0,38,7.785271
87.444518,38,8.543746
17.668804,38,9.291575
-375.168404,38,10.041325
18.034092,38,10.789105
3676.226026,38,11.532811
12.4,38,12.264294
33.0,38,12.993391
8.55292,38,13.729106
7.825219,38,14.506278
6.727174,38,15.254636
4.508941,38,16.008871
33.30051,38,16.738719
-2943.555131,38,17.475941
240.0,38,18.229622
19.766483,38,18.97607
6.678374,38,19.723337
6105.595126,38,20.457242
17.981815,38,21.207591
16.967847,38,21.94007
25.59189,38,22.733876
4.454369,38,23.507354
44.584467,38,24.295825
23.0,38,25.076903
4.277622,38,25.892504
32.908278,38,26.655221
14.669009,38,27.424018
16.535058,38,28.201317
5145.330093,38,28.972349
17.47127,38,29.722132
31.681074,38,30.4649
32.966578,38,31.198559
3.713555,38,31.994848
22.0,38,32.766955
5416.169497,38,33.533251
441.826017,38,34.323292
20.18286,38,35.085015
16.352112,38,35.894285
48.318168,38,36.671971
18.8,38,37.427256
21.043566,38,38.186305
-1670.110358,38,38.963062
9.873838,38,39.70551
-183.161597,38,40.457896
24.071882,38,41.240558
-344.038076,38,42.056632
12.428633,38,42.869147
17.631177,38,43.629376
-3551.965738,38,44.404694
29.0,38,45.216191
44.504011,38,46.151189
6286.605466,38,49.463398
14.4,38,50.240788
10.268624,38,50.996095
-12192.11791,38,51.75652
20.091279,38,52.735581
-205.286736,38,53.702897
11.088364,38,54.676785
-4414.56907,38,55.445688
-187.787972,38,56.379503
-61.934361,38,57.226304
15.037245,38,58.028004
10379.473614,38,58.786921
21.256365,38,59.515811
13.676318,38,60.488923
15.448417,38,61.262902
4.083207,38,62.005316
7.030933,38,62.729269
5.352551,38,63.500871
955.096131,38,64.43865
11.845094,38,65.162725
22.0,38,65.87997
22.911938,38,66.598082
16.0,38,67.364696
60.0,38,68.259018
5.947889,38,68.982576
-416.6672,38,69.725969
12.260312,38,70.450191
22.06195,38,71.341922
15.229415,38,72.188569
28.430069,38,72.923881
190.0,38,73.669725
64.0,38,74.386327
-248.870711,38,75.262425
9.588236,38,76.053988
45.076923,38,76.795746
35.334936,38,77.550396
5291.017371,38,78.300707
5331.55336,38,79.159669
-386.821109,38,80.015064
6.354262,38,80.795506
6.827839,38,81.581821
23.342893,38,82.453222
13.142514,38,83.372635
26.766355,38,84.162076
21.161521,38,84.902466
5495.277469,38,85.6327
76632.680588,38,86.499442
38.0,38,87.337046
18.900928,38,88.065128
7.386434,38,88.809308
30.0,38,89.763969
11.735994,38,90.634336
-358.404719,38,91.378429
8006.674728,38,92.122143
130.496143,38,95.561041
9.389902,38,96.31246
8.023668,38,97.132097
101.671499,38,97.981002
1889.142413,38,98.725505
6.076321,38,99.502877
13.995383,38,100.286941
3.429765,38,101.212316
15.2,38,101.95892
6.984574,38,102.803951
39.118465,38,103.602405
40.0,38,104.46204
22.630985,38,105.316595
23.527999,38,106.048889
9.858854,38,106.808466
27.791177,38,107.572974
1889.087539,38,108.461278
28.0,38,109.276097
17.100843,38,110.03436
25.0,38,110.780882
7.951494,38,111.592338
21.0,38,112.499555
5.787495,38,113.245058
21.0,38,113.99974
10.976065,38,114.716842
18.56,38,115.619241
5.818862,38,116.417816
2424.721385,38,117.137993
8.105146,38,117.867339
15.796528,38,118.630763
6.838373,38,119.614728
22.833872,38,120.385379
21.421375,38,121.119998
27.063367,38,121.878836
8.606905,38,122.610223
13.539315,38,123.460803
-351.100188,38,124.323709
-351.222222,38,125.079572
14.470912,38,125.81645
201.726428,38,126.581912
15.491593,38,127.427068
-335.955311,38,128.265743
11.206321,38,128.986333
-14606.851667,38,129.736965
12.898628,38,130.466664
11.767879,38,131.330434
17.852771,38,132.152945
3849.946327,38,132.883812
9.735168,38,133.612653
7081.113932,38,134.391788
20.003249,38,135.354841
21.360533,38,136.143976
13.6,38,136.883013
7.255408,38,137.625679
-1670.1059,38,140.882529
22.0,38,141.632218
16.437006,38,142.542905
14.545723,38,143.35323
26.0,38,144.10381
8.2,38,144.906774
34.0,38,145.72706
6131.275394,38,146.701088
-414.545677,38,147.448491
-310.146595,38,148.197683
20.715949,38,148.937298
41.495891,38,149.731036
31.450512,38,150.602212
38.0,38,151.373349
23.243029,38,152.109375
-61.919577,38,152.844082
17.393805,38,153.668815
13.797601,38,154.509864
5.579451,38,155.22876
11.718035,38,155.932051
-9775.429458,38,156.655056
9.697202,38,157.514311
-247.978719,38,158.354953
17.8104,38,159.090216
8.230093,38,159.809268
8.806614,38,160.543705
-400.119667,38,161.354239
53.597234,38,162.195326
234.748892,38,162.900194
4.84698,38,163.682999
511.680952,38,164.415362
15.051015,38,165.220938
34.300721,38,166.054875
18.027556,38,166.765137
-392.001,38,167.483709
22.214295,38,168.217183
24.926551,38,169.080138
16.628582,38,169.945429
13.351079,38,170.664535
11113.203579,38,171.392831
3487.413493,38,172.151005
4.643997,38,173.008118
23.0,38,173.723329
12.318644,38,174.448841
2753.971836,38,175.190814
55.280597,38,176.08983
1889.223683,38,176.977417
36.462051,38,177.690981
13.997822,38,178.427525
4.135195,38,179.190758
19.2,38,180.067359
13.2,38,180.835385
22.140987,38,181.575449
37.010648,38,182.301197
14.438867,38,185.558901
16.365497,38,186.290287
56.155138,38,187.084527
1889.152941,38,187.929309
14.8,38,188.661967
31.0,38,189.472936
9.6,38,190.214603
-241.94677,38,191.083093
19.88127,38,191.815473
301.715586,38,192.560003
37.598892,38,193.292711
5.96704,38,194.166249
16.8,38,194.978245
-413.321855,38,195.703841
20.480712,38,196.426744
42.0,38,197.168166
28.752412,38,198.017599
12.353835,38,198.741709
-393.649308,38,199.477559
17.263426,38,200.188398
707.447612,38,201.040627
48.0,38,201.818934
-379.981481,38,202.584622
-416.558391,38,203.354836
9093.109499,38,204.245597
3849.994864,38,204.98408
3430.783126,38,205.74003
5.00156,38,206.483742
42.000756,38,207.301315
26.583142,38,208.071409
3.836469,38,208.799567
9.449327,38,209.530251
46.505369,38,210.232634
-268.907273,38,211.051851
-279.952381,38,211.823012
10.90537,38,212.554254
9.8,38,213.306941
12.0,38,214.137817
44.972664,38,215.000066
412.718447,38,215.771837
-13114.784095,38,216.547029
2935.037041,38,217.473451
18.186397,38,218.308836
5.589743,38,219.022327
18.707073,38,219.771509
-414.907435,38,220.493267
4.600916,38,221.325088
