#{"t_start": 1683113483.937664, "env_id": null}
r,l,t
205.264313,38,0.75138
-150.015057,38,1.218258
-29.265215,25,1.800372
-409.144521,3,1.835711
-3981.235659,8,2.011915
-751.722817,14,2.396101
17.258897,9,2.533779
9.302326,38,3.305469
953.672316,9,3.396792
4312.333981,5,3.513778
304.186047,10,3.710323
-344.266488,11,3.848588
1308.507458,38,4.232756
1514.070169,10,4.308442
-3181.659943,10,4.376775
-644.227878,38,4.738779
-7502.895711,7,4.78911
-713.629795,6,4.833701
-289.624472,14,4.951706
-822.03395,10,5.029954
-2001.049279,9,5.113565
-90.597043,3,5.140653
-114.48,6,5.186367
390.719683,13,5.288106
2554.304289,8,5.351444
322.195722,37,5.841072
259.230599,11,5.939604
-1331.525746,16,6.077369
374.655487,12,6.20026
-1077.475214,20,6.4153
-288.015905,4,6.444669
1162.374463,10,6.522202
-627.468343,3,6.546093
-185.549272,13,6.655339
-211.269972,19,6.885479
-2505.145801,12,7.004763
-3271.375547,22,7.236064
-593.249935,2,7.25663
490.355439,19,7.464476
-374.684582,20,7.722722
-62.636183,38,8.078136
56.287061,4,8.109743
323.661263,26,8.38344
943.189998,38,9.263204
12.614961,7,9.312747
-1597.685962,7,9.36317
30.360065,20,9.542335
437.552435,38,10.036423
-606.295763,25,10.624414
-1227.544885,18,10.98407
-1398.300625,26,11.287167
-10978.824699,7,11.367043
-8887.742377,27,12.033601
1831.685352,32,12.403081
-135.025726,38,12.777249
148.599618,6,12.819574
-699.71622,14,12.929345
-1704.048015,33,13.447945
13.059671,12,13.541472
288.943993,13,13.64595
647.6158,19,13.846762
-36.89571,38,14.498899
-3109.395328,7,14.55814
258.418603,7,14.616181
806.817001,12,14.729683
394.766763,23,14.93409
-1434.140197,10,15.015597
1333.06675,3,15.038349
-164.769391,32,15.375837
528.48912,11,15.454555
929.093067,28,15.694676
236.589088,5,15.7266
321.45695,5,15.763297
-1976.828515,6,15.802119
-3213.345403,5,15.835494
-224.512481,38,16.198589
2276.751176,9,16.264174
327.724494,38,16.623125
-8.680773,13,16.723905
-1654.509315,9,16.786239
-577.991053,19,16.940729
-3343.860263,15,17.064822
-1859.310896,11,17.149225
208.698261,38,17.5667
1317.570268,13,17.687526
71.598834,38,18.07788
