#{"t_start": 1683126754.34287, "env_id": null}
r,l,t
205.264313,38,1.262682
-150.015057,38,2.594067
-733.897811,24,3.114433
773.925998,5,3.188002
-3560.556966,26,3.793262
-516.396384,13,3.996872
-818.938962,20,4.284354
1040.600578,13,4.545273
1084.285028,9,4.74755
3329.149321,10,4.959194
799.287121,4,5.051116
-704.18683,18,5.449137
607.156219,38,6.358885
56.97873,15,6.614698
147.619703,28,7.047138
-1480.76606,38,7.803603
-5030.659034,10,7.972185
30.435643,6,8.062467
-332.255123,18,8.38413
-2001.26292,15,8.79131
301.399763,38,9.739467
622.511592,25,10.095396
134.828131,38,10.812555
-42.211055,13,11.023169
-21.194844,38,11.938929
314.685,38,12.839489
143.2958,14,13.064506
431.06932,31,13.532131
721.663765,10,13.829314
211.161282,38,15.231886
2023.015511,22,15.663375
484.433779,5,15.732755
109.090909,38,16.464024
250.434,38,17.242337
47.363026,19,17.59633
-2712.799792,15,17.847751
-600.907093,17,18.196783
-455.984739,24,18.827255
684.811199,7,18.929677
-1196.280062,28,19.484197
-1.33035,38,20.090887
-13.887504,9,20.249838
2062.258897,28,20.851727
402.268634,38,21.619211
-443.193965,10,21.831412
175.761678,26,22.278914
-909.44114,35,22.846558
-786.029128,24,23.329066
-20.114483,36,24.195434
-905.597422,5,24.265568
-205.483718,30,24.961501
-9377.725318,7,25.040462
-9949.374527,35,25.635661
2174.944541,32,26.389085
-168.918919,38,27.271378
570.207453,10,27.453853
-184.566737,30,28.015485
-5911.765449,10,28.186877
-315.783918,11,28.333815
787.779134,4,28.382808
-212.517381,28,28.965989
193.110718,38,29.92617
167.412989,15,30.194622
626.068092,20,30.520679
127.660153,12,30.716144
1427.337478,3,30.746617
-1484.506199,29,31.159627
227.722597,8,31.249593
-82.424242,33,31.932315
163.06163,7,32.048243
882.566677,23,32.586297
696.700791,25,33.146281
308.777787,3,33.192908
-1060.311628,4,33.268362
-142.972902,10,33.40712
939.005552,35,34.051116
2680.237134,9,34.155999
183.556815,38,34.907812
1287.476129,14,35.173719
-3545.023445,11,35.336269
-518.160636,22,35.749611
-3954.687975,10,35.947258
-2607.707185,24,36.413844
1358.650833,17,36.679119
2177.420625,11,36.808753
23.613912,38,37.495178
-150.805437,38,38.28114
63.1575,38,39.203835
12605210.577237,15,39.579185
-978.056412,36,40.134312
-200.0,38,40.868177
-1815.104552,36,41.663084
-1434.271985,32,44.631526
458.375638,12,44.81796
-114.638379,31,45.525656
415.404994,38,46.170553
119.700132,38,47.059525
-721.160823,8,47.224475
177.079594,12,47.584011
1611.582407,28,48.14146
99.087464,30,48.733472
116.678101,38,49.646154
-112.274077,3,49.720165
-980.434138,11,49.908909
-542.784434,7,50.052187
364.335207,23,50.483943
-102.426396,30,51.121851
-439.189189,38,51.783195
266.932982,4,51.826492
-636.982362,6,51.911239
-6385.772337,26,52.350633
-250.92418,38,53.277978
642.738919,25,53.738572
-866.570555,10,53.937614
441.245045,10,54.07344
3793.127236,7,54.182818
489.866484,10,54.323151
-1581.708716,9,54.467462
114.286,38,55.161866
1530.799565,21,55.536619
1040.107569,31,56.291155
287.814246,7,56.400651
122.058576,38,57.156417
116.55,38,57.859982
-1321.497827,31,58.648722
-32.741221,38,59.700021
-798.769416,18,60.020243
-405.636056,8,60.12267
127.686227,38,60.752607
1692.443605,12,60.912859
218.655381,38,61.816235
260.19561,5,61.914074
64.935,38,62.805177
-105.288166,13,62.989359
-370.689868,29,63.429048
-962.246482,6,63.494147
956.676812,24,63.932296
1771.152361,6,64.071553
-2697.151305,30,64.772499
-1740.489799,32,65.481329
1764.949078,31,66.018722
-711.111206,20,66.328956
445.491794,26,66.74578
324.809567,38,67.54647
2980.94443,5,67.615444
354.460992,27,68.36878
-2754.260853,22,68.864262
-663.978109,5,68.951655
2501.276316,3,68.993522
-2045.228398,2,69.036451
203.474329,16,69.253737
83.582305,11,69.401576
-348.863566,3,69.551825
2146.526409,9,69.661673
-396.982754,20,70.063585
-803.574283,7,70.320735
-1065.914203,7,70.551201
2567.562737,13,70.786403
-214.252911,25,71.260579
-1132.960143,20,71.639878
227.971367,5,71.719942
-1869.596927,33,72.32218
-4.211767,38,73.078169
-276.705445,38,74.026774
-1632.698944,33,74.808918
-1374.717042,19,75.18729
419.67666,38,76.147021
