#{"t_start": 1682772348.2641106, "env_id": null}
r,l,t
0.0,38,5.691175
-274.685379,38,6.496239
269.668062,38,7.272041
30787238.770728,21,9.000532
-3666.666667,38,9.783565
-571.428571,38,10.55731
0.0,38,11.354053
583.280258,7,11.45736
0.0,38,13.333975
3443.995821,38,14.26282
0.0,38,15.149623
0.0,38,17.075252
381.56926,5,17.154273
1131.301113,16,17.460188
-500.0,38,18.322228
-1480.76606,38,19.179493
0.0,38,21.081717
-1246.562247,38,21.96751
-1856.232511,19,22.347369
-619.046458,10,22.522746
0.0,38,24.299532
551.439677,6,24.39905
-1777.777778,38,25.261094
-328.774904,25,25.775591
1508.747234,38,26.629774
-30.302917,38,28.558903
1374.903373,18,28.91834
0.0,38,29.803515
-96.886013,38,30.676393
135.50122,38,32.561502
909.814478,38,33.475573
1500.0,38,34.389826
9100990.09901,38,36.265075
0.0,38,37.146369
221.540378,28,37.723213
10240958.977118,23,38.165162
0.0,38,39.974528
-839.080805,4,40.045621
6962376.237624,38,40.886288
270.27,38,41.753599
15.129709,38,43.656832
0.0,38,44.518293
0.0,38,45.40433
675.209871,38,46.262511
64.646545,38,48.082821
273.248862,38,48.942353
-1511.286193,38,49.791563
0.0,38,51.609078
-231.66,38,52.491949
0.0,38,53.355821
-1331.714472,38,54.227179
0.0,38,56.053234
-9571.013707,38,56.914443
1900.0,38,57.814037
0.0,38,59.751642
0.0,38,60.639635
-703.847701,12,60.850609
523.716058,38,61.754371
98.169706,38,63.568813
1655.172414,38,64.416227
-108.612828,38,65.252268
-41.73941,38,67.104326
-3043.592912,38,67.972661
-1134.20485,28,68.543223
853.897386,13,68.775531
0.0,38,69.695834
-2285.714286,38,71.570427
0.0,38,72.416887
-242.424242,38,73.263683
487.804878,38,75.018856
917.205706,31,75.676342
122.011345,38,76.522928
0.0,38,77.389351
9322705.372933,38,79.24746
0.0,38,80.103607
-203.2848,38,80.933856
0.0,38,82.785155
1626.10958,38,83.685955
0.611194,38,84.534773
0.0,38,86.393565
500.00125,38,87.260325
0.0,38,88.151418
120.091501,38,89.105372
269.451429,38,90.958275
0.0,38,91.776215
26.824867,38,92.656105
2681376.50008,38,94.545554
17.315909,38,95.38254
134.791869,38,96.220513
-789.234308,38,97.823353
-196.079167,38,98.692937
11873267.326733,38,99.541664
-1425.675399,31,100.215749
412.268744,38,102.103518
-139.273052,38,102.963137
0.0,38,103.887259
41.142781,32,105.524319
0.0,38,106.390166
1748.765384,38,107.256997
1508.854617,32,107.955358
0.0,38,109.807352
402.768712,38,110.637689
0.0,38,111.48304
0.0,38,113.408911
-4438.597412,10,113.58557
0.0,38,114.497545
-31.760436,31,115.168714
-439.189189,38,116.019675
-1982.118156,38,117.828845
-1446.188681,38,118.723221
0.0,38,119.583915
1240.538452,38,121.477306
1530.595122,38,122.397522
0.0,38,123.282374
17.605781,5,123.364252
3694.231934,27,123.938654
400.0,38,125.727263
193.975169,38,126.625535
143.038966,38,127.52273
0.0,38,129.402329
0.0,38,130.278007
0.0,38,131.177576
0.0,38,133.0387
216.801951,38,133.910638
1045.026105,38,134.765294
9.536922,38,135.668167
0.0,38,137.586733
-445.032835,38,138.464639
-3949.907857,37,139.290979
1703.678135,38,141.109886
161.915923,38,141.963379
0.0,38,142.81997
64.935,38,144.703325
730.616895,26,145.306677
-1903.863541,32,146.02743
-494.241053,30,146.661723
0.0,38,148.470306
1336.313165,32,149.136635
-2786.041662,38,149.952415
0.0,38,150.7963
92.49421,38,152.699789
-363.636364,38,153.570507
-250.895556,38,154.408933
68.63985,38,156.274802
-391.1116,38,157.125834
0.0,38,158.003827
