#{"t_start": 1683143510.1012428, "env_id": null}
r,l,t
578.148661,38,0.781868
-145.778933,38,1.743061
269.668062,38,2.451924
19.399195,38,5.173476
-2613.114326,38,5.590453
1975586.493336,38,5.985391
0.0,38,8.407755
-153.973423,7,8.561491
0.0,38,9.686491
1024.222951,38,10.160628
0.0,38,12.569576
-376.378889,38,13.244363
134.174169,13,13.367662
1284.293194,20,13.58357
-500.0,38,14.294398
-518.949213,38,19.469407
0.0,38,21.109501
-1508.39956,5,21.301313
-1856.232511,20,21.716835
1248.704128,8,21.890677
0.0,38,25.484219
414.145364,38,25.987498
-1777.777778,38,26.424131
-53.564954,19,26.609754
1440.375549,38,28.510317
80.200952,38,28.927701
193.659383,38,29.470491
311.1115,38,29.939962
-49.081748,38,31.941255
4589782.696839,38,32.370154
694.242082,17,32.518049
315.759164,38,32.931853
9101132.624673,26,34.494932
0.0,38,34.892599
-185.648,38,35.38412
-1650.811092,37,36.777311
0.0,38,37.183771
-662.210056,9,37.271198
0.0,38,37.726065
270.27,38,39.429479
19900783.788334,38,39.851937
0.0,38,40.345006
0.0,38,40.754376
675.209871,38,42.407406
0.0,38,42.85959
273.248862,38,43.274891
2150922.16201,38,45.138414
0.0,38,45.561061
-107.526667,38,46.050815
-781.332789,38,46.499472
-171.932633,38,48.540335
0.0,38,49.002084
-7973.648824,38,49.44965
675.773414,38,51.346333
0.0,38,51.794969
0.0,38,52.270306
-703.847701,13,52.393661
578.492353,38,54.982941
0.0,38,55.46844
870.408602,38,55.894279
-824.078666,38,57.662837
71.582678,38,58.062082
0.0,38,58.760114
4690689.429945,23,59.00456
864.109755,27,60.830797
0.0,38,61.280187
-2285.714286,38,61.740931
0.0,38,62.191114
-471.298638,38,64.458851
487.804878,38,64.940675
1171.982128,30,65.336262
-807.868462,38,67.808342
0.0,38,68.22379
0.0,38,68.61833
0.0,38,69.042738
0.0,38,70.855801
0.0,38,71.321942
1626.10958,38,71.788357
0.0,38,73.317097
-4577.364945,38,73.756221
622.008947,38,74.186583
0.0,38,76.135102
65.321377,38,76.529836
78407920.792079,38,76.940871
0.0,38,77.419407
86.785347,38,79.341969
-317.600542,38,79.804476
17.315909,38,80.298368
134.791869,38,81.793563
-143.121527,38,82.271336
-101.648281,38,82.707868
2890849.464131,38,83.104847
-683.175635,38,85.002917
742.170103,38,85.46093
0.0,38,85.902022
0.0,38,87.693058
0.0,38,88.125934
0.0,38,88.592758
1130.589324,34,89.974986
718.788163,34,90.424821
50.552137,38,90.81906
0.0,38,91.224881
0.0,38,92.699739
0.0,38,93.096099
-4801.979882,11,93.190297
0.0,38,93.601729
-428.233337,32,95.520159
-439.189189,38,95.975772
